Index,gammap,k,lambdap,Nrp,CBR,PRP,ed
0,1,6,1,1,0.003243331,0.999991132,8.27E-05
1,1,6,1,2,0.004576661,0.999999945,0.000116615
2,1,6,1,3,0.00590999,1,0.000150574
3,1,6,1,4,0.007243316,1,0.000184538
4,1,6,1,5,0.00857664,1,0.000218507
5,1,6,1,6,0.00990996,1,0.00025248
6,1,6,1,7,0.011243277,1,0.000286459
7,1,6,1,8,0.012576589,1,0.000320442
8,1,6,1,9,0.013909898,1,0.000354431
9,1,6,2,1,0.006486648,0.999964682,8.43E-05
10,1,6,2,2,0.009153291,0.999999566,0.000118846
11,1,6,2,3,0.011819919,0.999999993,0.000153454
12,1,6,2,4,0.014486529,1,0.000188078
13,1,6,2,5,0.017153118,1,0.000222717
14,1,6,2,6,0.019819681,1,0.000257373
15,1,6,2,7,0.022486216,1,0.000292046
16,1,6,2,8,0.025152718,1,0.000326737
17,1,6,2,9,0.027819185,1,0.000361446
18,1,6,3,1,0.009729937,0.999920805,8.59E-05
19,1,6,3,2,0.013729857,0.999998544,0.00012111
20,1,6,3,3,0.017729728,0.999999963,0.00015639
21,1,6,3,4,0.021729538,0.999999999,0.000191701
22,1,6,3,5,0.025729274,1,0.000227046
23,1,6,3,6,0.029728926,1,0.000262427
24,1,6,3,7,0.033728482,1,0.000297843
25,1,6,3,8,0.03772793,1,0.000333298
26,1,6,3,9,0.041727259,1,0.000368791
27,1,6,4,1,0.012973184,0.999859655,8.75E-05
28,1,6,4,2,0.018306329,0.999996569,0.000123407
29,1,6,4,3,0.023639357,0.999999886,0.00015938
30,1,6,4,4,0.02897224,0.999999995,0.000195407
31,1,6,4,5,0.034304951,1,0.000231493
32,1,6,4,6,0.039637462,1,0.000267638
33,1,6,4,7,0.044969747,1,0.000303846
34,1,6,4,8,0.050301778,1,0.000340118
35,1,6,4,9,0.055633528,1,0.000376458
36,1,6,5,1,0.016216376,0.999781383,8.91E-05
37,1,6,5,2,0.022882674,0.999993337,0.000125737
38,1,6,5,3,0.029548746,0.999999723,0.000162424
39,1,6,5,4,0.036214536,0.999999985,0.000199195
40,1,6,5,5,0.042879991,0.999999999,0.000236054
41,1,6,5,6,0.049545058,1,0.000273005
42,1,6,5,7,0.056209685,1,0.00031005
43,1,6,5,8,0.062873819,1,0.000347194
44,1,6,5,9,0.069537409,1,0.00038444
45,1,6,6,1,0.019459498,0.999686142,9.08E-05
46,1,6,6,2,0.027458863,0.999988551,0.000128098
47,1,6,6,3,0.035457837,0.999999431,0.000165522
48,1,6,6,4,0.043456326,0.999999964,0.000203064
49,1,6,6,5,0.051454239,0.999999997,0.000240731
50,1,6,6,6,0.059451485,1,0.000278525
51,1,6,6,7,0.067447975,1,0.000316454
52,1,6,6,8,0.075443618,1,0.000354521
53,1,6,6,9,0.083438327,1,0.000392731
54,1,6,7,1,0.022702536,0.999574083,9.25E-05
55,1,6,7,2,0.032034864,0.999981923,0.000130493
56,1,6,7,3,0.041366571,0.999998956,0.000168674
57,1,6,7,4,0.050697511,0.999999924,0.000207014
58,1,6,7,5,0.060027541,0.999999993,0.00024552
59,1,6,7,6,0.069356518,0.999999999,0.000284197
60,1,6,7,7,0.078684299,1,0.000323053
61,1,6,7,8,0.088010745,1,0.000362094
62,1,6,7,9,0.097335717,1,0.000401325
63,1,6,8,1,0.025945479,0.999445354,9.42E-05
64,1,6,8,2,0.036610647,0.999973169,0.000132919
